# source, executable, build_date-time, wall-clock, function, gnuc, elapsed, cores, itens
minas-funcs.c,target/minas,Jun 25 2020 09:39:38,1593088925,readModel,10.1.0,7.030000e-04,1,100
minas-funcs.c,target/minas,Jun 25 2020 09:39:38,1593088927,readExamples,10.1.0,2.115687e+00,1,653457
minas.c,target/minas,Jun 25 2020 09:39:38,1593088935,main,10.1.0,7.515006e+00,1,653457
evaluate.c,target/eval,Jun 25 2020 09:42:39,1593088962,main,10.1.0,2.892686e+00,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 09:44:21,1593089075,readModel,10.1.0,7.030000e-04,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 09:44:21,1593089078,readExamples,10.1.0,2.335167e+00,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089078,sendModel,10.1.0,2.130000e-04,2,100
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089086,sendExamples,10.1.0,8.118227e+00,2,653457
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089086,main,10.1.0,8.118245e+00,2,653457
evaluate.c,target/eval,Jun 25 2020 09:42:39,1593089219,main,10.1.0,2.884771e+00,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 09:44:21,1593089303,readModel,10.1.0,6.470000e-04,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 09:44:21,1593089306,readExamples,10.1.0,2.299031e+00,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089306,sendModel,10.1.0,2.640000e-04,3,100
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089311,sendExamples,10.1.0,5.239357e+00,3,653457
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089311,main,10.1.0,5.239374e+00,3,653457
evaluate.c,target/eval,Jun 25 2020 09:42:39,1593089485,main,10.1.0,2.859688e+00,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 09:44:21,1593089518,readModel,10.1.0,1.113000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 09:44:21,1593089522,readExamples,10.1.0,3.824497e+00,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089522,sendModel,10.1.0,2.880000e-04,4,100
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089525,sendExamples,10.1.0,3.725778e+00,4,653457
minas-mpi.c,./target/mfog,Jun 25 2020 09:44:21,1593089525,main,10.1.0,3.725801e+00,4,653457
evaluate.c,target/eval,Jun 25 2020 09:42:39,1593089549,main,10.1.0,2.754283e+00,1,653457
src/minas/minas.c,./target/mfog,Jun 30 2020 23:17:29,1593569857,readModel,10.1.0,9.080000e-04,1,100
src/minas/minas.c,./target/mfog,Jun 30 2020 23:17:29,1593569859,readExamples,10.1.0,1.937121e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jun 30 2020 23:17:29,1593569859,sendModel,10.1.0,2.710000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jun 30 2020 23:17:29,1593569862,sendExamples,10.1.0,2.999531e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jun 30 2020 23:17:29,1593569862,MNS_mfog_main,10.1.0,2.999553e+00,4,653457
src/minas/minas.c,./target/mfog,Jun 30 2020 23:35:33,1593570937,readModel,10.1.0,9.740000e-04,1,100
src/minas/minas.c,./target/mfog,Jun 30 2020 23:35:33,1593570939,readExamples,10.1.0,2.468683e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jun 30 2020 23:35:33,1593570939,sendModel,10.1.0,2.770000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jun 30 2020 23:35:33,1593570943,sendExamples,10.1.0,3.898615e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jun 30 2020 23:35:33,1593570943,MNS_mfog_main,10.1.0,3.898645e+00,4,653457
src/minas/minas.c,target/minas,Jul  1 2020 17:01:05,1593633666,readModel,10.1.0,9.760000e-04,1,100
src/minas/minas.c,target/minas,Jul  1 2020 17:01:05,1593633668,readExamples,10.1.0,2.121585e+00,1,653457
src/minas/minas.c,target/minas,Jul  1 2020 17:01:05,1593633675,MNS_minas_main,10.1.0,7.205505e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  1 2020 17:01:05,1593633678,main,10.1.0,2.923294e+00,1,653457
src/minas/minas.c,./target/mfog,Jul  1 2020 17:01:18,1593633679,readModel,10.1.0,1.123000e-03,1,100
src/minas/minas.c,./target/mfog,Jul  1 2020 17:01:18,1593633682,readExamples,10.1.0,3.836539e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:01:18,1593633682,sendModel,10.1.0,2.210000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:01:18,1593633687,sendExamples,10.1.0,4.239035e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:01:18,1593633687,MNS_mfog_main,10.1.0,4.239060e+00,4,653457
src/minas/evaluate.c,target/eval,Jul  1 2020 17:01:05,1593633690,main,10.1.0,2.816260e+00,1,653457
src/minas/minas.c,target/minas,Jul  1 2020 17:02:19,1593633740,readModel,10.1.0,1.073000e-03,1,100
src/minas/minas.c,target/minas,Jul  1 2020 17:02:19,1593633742,readExamples,10.1.0,2.205554e+00,1,653457
src/minas/minas.c,target/minas,Jul  1 2020 17:02:19,1593633749,MNS_minas_main,10.1.0,7.166762e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  1 2020 17:02:19,1593633752,main,10.1.0,2.927649e+00,1,653457
src/minas/minas.c,./target/mfog,Jul  1 2020 17:02:32,1593633753,readModel,10.1.0,1.125000e-03,1,100
src/minas/minas.c,./target/mfog,Jul  1 2020 17:02:32,1593633756,readExamples,10.1.0,3.250850e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:02:32,1593633756,sendModel,10.1.0,2.590000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:02:32,1593633759,sendExamples,10.1.0,3.513240e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:02:32,1593633759,MNS_mfog_main,10.1.0,3.513266e+00,4,653457
src/minas/evaluate.c,target/eval,Jul  1 2020 17:02:19,1593633762,main,10.1.0,2.883628e+00,1,653457
src/minas/minas.c,target/minas,Jul  1 2020 17:03:09,1593633789,readModel,10.1.0,6.430000e-04,1,100
src/minas/minas.c,target/minas,Jul  1 2020 17:03:09,1593633792,readExamples,10.1.0,2.390780e+00,1,653457
src/minas/minas.c,target/minas,Jul  1 2020 17:03:09,1593633798,MNS_minas_main,10.1.0,6.800604e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  1 2020 17:03:09,1593633801,main,10.1.0,2.685293e+00,1,653457
src/minas/minas.c,./target/mfog,Jul  1 2020 17:03:21,1593633802,readModel,10.1.0,1.112000e-03,1,100
src/minas/minas.c,./target/mfog,Jul  1 2020 17:03:21,1593633804,readExamples,10.1.0,2.154374e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:03:21,1593633804,sendModel,10.1.0,1.950000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:03:21,1593633807,sendExamples,10.1.0,3.343587e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  1 2020 17:03:21,1593633807,MNS_mfog_main,10.1.0,3.343609e+00,4,653457
src/minas/evaluate.c,target/eval,Jul  1 2020 17:03:09,1593633810,main,10.1.0,2.756982e+00,1,653457
